old_code,old_category_path,new_code,new_category_path,similarity_score,match_status
23160200,TV/냉장고/세탁기 > 양문형냉장고 > 대우 클라쎄 > 700L 미만,6223694,TV/냉장고/세탁기 > 양문형냉장고 > 대우 클라쎄 > 700L 미만,100.00%,high_confidence
23130500,TV/냉장고/세탁기 > 스피커 > 센터,6223672,TV/냉장고/세탁기 > 스피커 > 센터,100.00%,high_confidence
23130300,TV/냉장고/세탁기 > 스피커 > 블루투스 스피커,6223670,TV/냉장고/세탁기 > 스피커 > 블루투스 스피커,100.00%,high_confidence
23160300,TV/냉장고/세탁기 > 양문형냉장고 > 삼성 지펠 > 700L 미만,6223696,TV/냉장고/세탁기 > 양문형냉장고 > 삼성 지펠 > 700L 미만,100.00%,high_confidence
23100201,TV/냉장고/세탁기 > 드럼세탁기 > 대우 클라쎄 > 세탁전용,6223657,TV/냉장고/세탁기 > 드럼세탁기 > 대우 클라쎄 > 세탁전용,100.00%,high_confidence
23080400,TV/냉장고/세탁기 > 김치냉장고 > 위니아 딤채 > 뚜껑형,6223647,TV/냉장고/세탁기 > 김치냉장고 > 위니아 딤채 > 뚜껑형,100.00%,high_confidence
23080401,TV/냉장고/세탁기 > 김치냉장고 > 위니아 딤채 > 스탠드형,6223648,TV/냉장고/세탁기 > 김치냉장고 > 위니아 딤채 > 스탠드형,100.00%,high_confidence
23080500,TV/냉장고/세탁기 > 김치냉장고 > 중소브랜드,6223649,TV/냉장고/세탁기 > 김치냉장고 > 중소브랜드,100.00%,high_confidence
23080600,TV/냉장고/세탁기 > 김치냉장고 > 업소용,6223650,TV/냉장고/세탁기 > 김치냉장고 > 업소용,100.00%,high_confidence
23090100,TV/냉장고/세탁기 > 냉동고 > LG,6223651,TV/냉장고/세탁기 > 냉동고 > LG,100.00%,high_confidence
23090200,TV/냉장고/세탁기 > 냉동고 > 삼성,6223652,TV/냉장고/세탁기 > 냉동고 > 삼성,100.00%,high_confidence
23090300,TV/냉장고/세탁기 > 냉동고 > 중소 브랜드,6223653,TV/냉장고/세탁기 > 냉동고 > 중소 브랜드,100.00%,high_confidence
23100100,TV/냉장고/세탁기 > 드럼세탁기 > LG 트롬 > 세탁+건조,6223654,TV/냉장고/세탁기 > 드럼세탁기 > LG 트롬 > 세탁+건조,100.00%,high_confidence
